31888				0				0.1386
20341				0				0
20808				0				0
56850				0				0
2547				0				0
32192				0				0
8811				0				0
5236				0				0
14721				0				0
19032				0				0
13531				0				0
56761				0				0
52566				0.2542				0
49793				0				0
30824				0				0
22902				0				0
26546				0.3812				0
30723				0.4357				0
33966				0				0
35633				0				0
7148				0.7625				0
23174				0				0
5080				0				0
51343				0				0
26952				0				0
21728				0				0
36884				0				0
46095				0				0.5084
20941				0				0.2034
15270				0				0.1387
15887				0				0
